ID,Date,Newspaper,Quote,Casue,Cause_Normalized,Effect,Effect_Normalized,Relation,Stance,URL
A01,1905-02-24,The Colfax gazette,It is recognized by all students of the subject that a very large share of juvenile crime is due to absolute disregard of parental duty.,disregard of parental duty,Parental Neglect,Juvenile Crime,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn88085460/1905-02-24/ed-1/?sp=4&q=juvenile+crime+parental+neglect&r=0.096,0.292,0.161,0.095,0"
A02,1908-04-02,Springfield weekly Republican,"The society is now mainly concerned with the results of parental neglect, due to shiftlessness.",shiftlessness,Shiftlessness,Parental Neglect,Parental Neglect,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83020847/1908-04-02/ed-1/?sp=3&q=parental+neglect+due+to&r=0.779,0.802,0.199,0.118,0"
A03,1911-10-09,Evening star,Nearly every case of juvenile delinquency is caused by lack of proper food.,lack of proper food,Poverty,Juvenile Delinquent,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83045462/1911-10-09/ed-1/?sp=6&q=juvenile+delinquency+caused+by&r=0.064,0.305,0.238,0.141,0"
A04,1912-02-22,Iron County register,The juvenile delinquent is the logical and inevitable effect of parental delinquency.,parental delinquency,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn84024283/1912-02-22/ed-1/?sp=8&q=juvenile+delinquency+parental+neglect&r=0.013,0.376,0.272,0.161,0"
A05,1912-12-23,Evening journal,Parental neglect and inefficiency are frequently the causes of much of the juvenile delinquency.,parental neglect and inefficiency,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn85042354/1912-12-23/ed-1/?sp=7&q=parental+duty+juvenile+crime&r=0.116,0.623,0.501,0.281,0"
A06,1916-06-19,The day book,Fully 90 percent of delinquent girl cases that come into the juvenile court presided over by Judge Mary M. Bartelme are caused by parental neglect.,parental neglect,Parental Neglect,Delinquent Girl Cases,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83045487/1916-06-19/ed-1/?sp=12&q=juvenile+delinquency+caused+by&r=-0.081,0.162,0.816,0.483,0"
A07,1920-03-06,Richmond times-dispatch,Chanlains of prisons showed most juvenile delinquency was caused by moving picutres.,moving pictures,Moving Pictures,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83045389/1920-03-06/ed-1/?sp=8&q=juvenile+delinquency+caused+by&r=0.141,0.714,0.268,0.158,0"
A08,1921-10-06,Wood County reporter,Judge Backus attributed many cases of juvenile delinquency to parental neglect.,parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn85033078/1921-10-06/ed-1/?sp=1&q=juvenile+delinquency+parental+neglect&r=0.419,0.452,0.193,0.114,0"
A09,1928-04-05,Springfield weekly Republican,The report deals promptly with the familiar fallacy that parental neglect is an all-inclusive cause of juvenile delinquency.,parental neglect,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,MIXED_CAUSATION,SUPPORT,"https://www.loc.gov/resource/sn83020847/1928-04-05/ed-1/?sp=2&q=juvenile+crime+parental+neglect&r=0.481,0.425,0.201,0.119,0"
A10,1933-01-04,Smyrna times,The economic uncertainty and lack of control in broken homes are very frequent factors of juvenile delinquency.,broken homes,Broken Homes,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn84020422/1933-01-04/ed-1/?sp=6&q=broken+homes+leads+to+juvenile+delinquency&r=0.165,0.73,0.213,0.126,0"
A11,1939-06-23,The Waterbury Democrat,"""I found that one of the outstanding causes of juvenile crime is parental neglect,"" said Judge Bicek, himself a father.",lack of control in broken homes,Broken Homes,Juvenile Crime,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn82014085/1939-06-23/ed-1/?sp=6&q=juvenile+crime+parental&r=0.094,0.229,0.497,0.294,0"
A12,1943-08-07,The Michigan Chronicle,What I'm trying to say is that juvenile delinquency is caused by neglect in the home.,neglect in home,Parental Neglect,Juvenile Delinquency,Juvenile Delinquency,CAUSES,SUPPORT,"https://www.loc.gov/resource/sn83045324/1943-08-07/ed-1/?sp=22&q=juvenile+delinquency+caused+by&r=0.042,1.264,0.139,0.082,0"
